Name	Description
Fxyl908_contig-11	Fusarium xylarioides 375908
Fxyl563_contig-11	Fusarium xylarioides 389563
Fxyl038_contig-11	Fusarium xylarioides 507038
contig_11_460000-470000	Fusarium xylarioides strain IMI 389563
CP052893	Fusarium oxysporum isolate70 chromosome1
CP052902	Fusarium oxysporum f. sp. koae isolate 44 chromosome 8
LN649232 2	"Fusarium venenatum strain A3/5 genome assembly, chromosome: IIII"
CP103000	Fusarium pseudograminearum strain Fp22-2 chromosome 4
CP064754	Fusarium pseudograminearum strain Class2-1C chromosome 2
LT598662	"Fusarium culmorum genome assembly, chromosome: IV"
CP088260 2	Fusarium asiaticum strain KCTC6664 chromosome 4
HG970335	"Fusarium graminearum chromosome 4, complete genome"
CP104262	Fusarium vorosii strain W15A1 chromosome 4
CP104258 2	Fusarium vorosii strain RN1 chromosome 4
CP087874	Fusarium graminearum strain PH-1 chromosome 4
CP128291	Fusarium oxysporum strain Fo5176 chromosome4
CP052044	Fusarium oxysporum Fo47 chromosome VII
CP130309	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome3
CP128287	Fusarium oxysporum strain Fo5176 chromosome7
LN649232	"Fusarium venenatum strain A3/5 genome assembly, chromosome: IIII"
CP128291 2	Fusarium oxysporum strain Fo5176 chromosome4
CP052044 2	Fusarium oxysporum Fo47 chromosome VII
CP104255	Fusarium vorosii strain RN1 chromosome
CP128297	Fusarium oxysporum strain Fo5176 chromosome 6
CP064747	Fusarium culmorum strain Class2-1B chromosome
CP052039	Fusarium oxysporum Fo47 chromosome II
CP064747 2	Fusarium culmorum strain Class2-1B chromosome
CP128296	Fusarium oxysporum strain Fo5176 chromosome 3
CP052891	Fusarium oxysporum isolate70 chromosome 9
CP023110	Fusarium fujikuroi strain I1.3 chromosome X
CP098276	Epichloe elymi strain Nfe728 chromosome 4
XM_046194219	"Fusarium redolens uncharacterized protein (BKA55DRAFT_583491), mRNA"
CP079830	Fusarium graminearum strain FG-12 chromosome 4
XM_009259039	"Fusarium pseudograminearum CS3096 uncharacterized protein (FPSE_05921), partial mRNA"
XM_044857416	"Fusarium poae uncharacterized protein (FPOAC1_013074), partial mRNA"
CP128295	Fusarium oxysporum strain Fo5176 chromosome 4
CP128282 2	Fusarium oxysporum strain Fo5176 chromosome8
XM_025728405	"Fusarium venenatum uncharacterized protein (FVRRES_13077), partial mRNA"
CP104260	Fusarium vorosii strain W15A1 chromosome 2
CP088260	Fusarium asiaticum strain KCTC6664 chromosome 4
CP104258	Fusarium vorosii strain RN1 chromosome 4
CP130308	Fusarium oxysporum f. sp. vasinfectum isolate ME23 chromosome2
CP128283 2	Fusarium oxysporum strain Fo5176 chromosome6
CP104255 2	Fusarium vorosii strain RN1 chromosome
CP128296 2	Fusarium oxysporum strain Fo5176 chromosome 3
CP052891 2	Fusarium oxysporum isolate70 chromosome 9
CP128285 2	Fusarium oxysporum strain Fo5176 chromosome3
CP128283	Fusarium oxysporum strain Fo5176 chromosome6
CP098276 2	Epichloe elymi strain Nfe728 chromosome 4
LN649231	"Fusarium venenatum strain A3/5 genome assembly, chromosome: III"
CP128283	Fusarium oxysporum strain Fo5176 chromosome6
CP128296	Fusarium oxysporum strain Fo5176 chromosome 3
CP126885	Fusarium meridionale strain JX18-4 contig 2
XM_041826171	"Fusarium mangiferae uncharacterized protein (FMAN_15445), partial mRNA"
XM_018394839	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14777), mRNA"
XM_018394360	"Fusarium oxysporum f. sp. lycopersici 4287 uncharacterized protein (FOXG_14292), mRNA"
